vivienda;hogar;variedad;descripcion;id_unidad_medida_presentacion;cantidad_unidades_presentacion;contenido_empaque_presentacion;id_unidad_medida;cantidad_inicial;cantidad_final;consumo_exclusivo_hogar;factor_anual
2094;1;24;PLÁTANO VERDE;NA;NA;NA;1;10;0;10;306.703381007178
2094;1;25;GUINEITO VERDE;NA;NA;NA;1;5;0;5;306.703381007178
2846;1;2;GALLETAS DULCES;8;1;252;3;3;0;3;187.230797035965
2846;1;3;GALLETAS SALADAS;8;1;234;3;1;0;1;187.230797035965
2846;1;4;HARÍNA DE MAÍZ;56;1;14;4;2;1;1;187.230797035965
2846;1;6;FIEDOS O SPAGUETTIS (PASTAS);56;1;400;3;2;1;1;187.230797035965
2846;1;7;ARROZ;NA;NA;NA;2;10;0;10;187.230797035965
2846;1;13;LECHE LÍQUIDA;31;1;17;4;4;1;0;187.230797035965
2093;1;1;PANES;NA;NA;NA;1;26;4;21;306.703381007178
2093;1;3;GALLETAS SALADAS;NA;NA;NA;1;3;1;2;306.703381007178
2093;1;4;HARÍNA DE MAÍZ;56;1;1;2;3;2;1;306.703381007178
2093;1;5;AVENA;56;1;1;2;1;1;0;306.703381007178
2093;1;6;FIEDOS O SPAGUETTIS (PASTAS);8;1;1;2;3;2;1;306.703381007178
2093;1;7;ARROZ;NA;NA;NA;2;2;0;2;306.703381007178
2093;1;13;LECHE LÍQUIDA;31;1;1;7;1;0;1;306.703381007178
2093;1;16;ACEITE;57;1;68;4;2;1.5;0.5;306.703381007178
2093;1;29;AZUCARES;NA;NA;NA;2;2;0;2;306.703381007178
2093;1;30;CHOCOLATE O COCOA;NA;NA;NA;99;6;0;6;306.703381007178
2095;1;4;HARÍNA DE MAÍZ;56;1;1;2;1;0;1;306.703381007178
2095;1;5;AVENA;56;1;1;2;1;0;1;306.703381007178
2095;1;7;ARROZ;NA;NA;NA;2;3;0;3;306.703381007178
2095;1;15;HUEVOS;NA;NA;NA;1;1;0;1;306.703381007178
2095;1;16;ACEITE;87;1;1;2;1;0;1;306.703381007178
2095;1;25;GUINEITO VERDE;NA;NA;NA;1;10;0;10;306.703381007178
2095;1;27;HABICHUELAS SUELTAS;NA;NA;NA;2;6;3;3;306.703381007178
2095;1;28;HABICHUELAS ENLATADAS;63;1;15;4;2;0;2;306.703381007178
2095;1;29;AZUCARES;NA;NA;NA;2;2;0;2;306.703381007178
2095;1;30;CHOCOLATE O COCOA;NA;NA;NA;99;6;0;6;306.703381007178
2908;1;16;ACEITE;57;1;2;7;0.5;0.25;0.25;181.09375
2369;1;1;PANES;56;NA;NA;NA;10;0;10;302.189393939394
2369;1;5;AVENA;56;1;650;3;1;0.5;0.5;302.189393939394
2369;1;6;FIEDOS O SPAGUETTIS (PASTAS);8;1;350;3;2;0;2;302.189393939394
2369;1;7;ARROZ;NA;NA;NA;2;25;15;10;302.189393939394
2369;1;15;HUEVOS;NA;NA;NA;1;15;0;15;302.189393939394
2369;1;16;ACEITE;20;1;4;4;1;0.5;0.5;302.189393939394
2369;1;17;MANTEQUILLA;105;1;425;3;1;0.5;0.5;302.189393939394
2369;1;18;SALAMI;NA;NA;NA;2;1;0;1;302.189393939394
2369;1;24;PLÁTANO VERDE;NA;NA;NA;1;25;0;25;302.189393939394
2369;1;25;GUINEITO VERDE;NA;NA;NA;1;20;0;20;302.189393939394
2369;1;26;PAPAS;NA;NA;NA;2;2;0;2;302.189393939394
2369;1;27;HABICHUELAS SUELTAS;NA;NA;NA;2;4;1;3;302.189393939394
2369;1;29;AZUCARES;NA;NA;NA;2;3;0;3;302.189393939394
2371;1;7;ARROZ;NA;NA;NA;2;2;0;2;302.189393939394
2371;1;15;HUEVOS;NA;NA;NA;1;5;0;5;302.189393939394
2371;1;18;SALAMI;NA;NA;NA;2;0.5;0;0.5;302.189393939394
2371;1;24;PLÁTANO VERDE;NA;NA;NA;1;20;0;20;302.189393939394
2371;1;25;GUINEITO VERDE;NA;NA;NA;1;30;0;30;302.189393939394
2371;1;29;AZUCARES;NA;NA;NA;2;1;0;1;302.189393939394
2359;1;4;HARÍNA DE MAÍZ;56;1;1;2;2;2;0;347.037499999999
2359;1;5;AVENA;NA;NA;NA;2;1.5;1;0.5;347.037499999999
2359;1;6;FIEDOS O SPAGUETTIS (PASTAS);56;1;1;2;4;1;3;347.037499999999
2359;1;7;ARROZ;NA;NA;NA;2;10;0;10;347.037499999999
2359;1;14;LECHE EN POLVO;NA;NA;NA;2;0.25;0;0.25;347.037499999999
2359;1;29;AZUCARES;56;1;2;2;2;0;2;347.037499999999
2359;1;17;MANTEQUILLA;NA;NA;NA;2;1;0;1;347.037499999999
2359;1;20;SARDINAS EN ACEITE;63;1;4;4;1;1;0;347.037499999999
2359;1;27;HABICHUELAS SUELTAS;56;1;2;2;2;0;2;347.037499999999
2359;1;30;CHOCOLATE O COCOA;NA;NA;NA;2;0.5;0.25;0.25;347.037499999999
2467;1;3;GALLETAS SALADAS;NA;NA;NA;1;19;1;18;347.037499999999
2467;1;4;HARÍNA DE MAÍZ;56;1;14;4;2;2;0;347.037499999999
2467;1;5;AVENA;NA;NA;NA;56;1;0.5;0.5;347.037499999999
2467;1;6;FIEDOS O SPAGUETTIS (PASTAS);56;1;400;3;3;2;1;347.037499999999
2467;1;7;ARROZ;NA;NA;NA;2;19;12;7;347.037499999999
2467;1;13;LECHE LÍQUIDA;31;1;34;4;4;3;1;347.037499999999
2467;1;15;HUEVOS;NA;NA;NA;1;28;19;9;347.037499999999
2467;1;16;ACEITE;57;1;4;7;1;0.5;0.5;347.037499999999
2467;1;18;SALAMI;NA;NA;NA;2;5;3;2;347.037499999999
2467;1;23;ATÚN EN ACEITE;63;1;142;3;3;2;1;347.037499999999
2467;1;28;HABICHUELAS ENLATADAS;63;1;15;4;4;3;1;347.037499999999
2467;1;29;AZUCARES;NA;NA;NA;2;5;3.5;1.5;347.037499999999
3085;1;2;GALLETAS DULCES;NA;NA;NA;1;3;0;3;501.878259829927
3085;1;6;FIEDOS O SPAGUETTIS (PASTAS);8;1;400;3;1;0;1;501.878259829927
3085;1;7;ARROZ;NA;NA;NA;2;6;0;6;501.878259829927
3085;1;13;LECHE LÍQUIDA;31;1;1;7;1;0;1;501.878259829927
3085;1;15;HUEVOS;NA;NA;NA;1;10;0;10;501.878259829927
3085;1;16;ACEITE;57;1;64;4;0.5;0;0.5;501.878259829927
3085;1;17;MANTEQUILLA;105;1;1;2;0.25;0;0.25;501.878259829927
3085;1;24;PLÁTANO VERDE;NA;NA;NA;1;15;0;15;501.878259829927
3085;1;27;HABICHUELAS SUELTAS;NA;NA;NA;2;2;0;2;501.878259829927
3085;1;29;AZUCARES;NA;NA;NA;2;2;0;2;501.878259829927
3085;1;30;CHOCOLATE O COCOA;NA;NA;NA;99;2;0;2;501.878259829927
3086;1;1;PANES;NA;NA;NA;1;10;0;10;501.878259829927
3086;1;2;GALLETAS DULCES;NA;NA;NA;1;6;0;6;501.878259829927
3086;1;3;GALLETAS SALADAS;NA;NA;NA;1;3;0;3;501.878259829927
4783;1;7;ARROZ;97;1;25;2;0.5;0.25;0.25;257.442345924452
4783;1;16;ACEITE;57;1;2;7;0.5;0.25;0.25;257.442345924452
4783;1;17;MANTEQUILLA;NA;NA;NA;2;0.5;0.25;0.25;257.442345924452
4748;1;1;PANES;NA;NA;NA;1;6;0;6;272.107743683448
4748;1;2;GALLETAS DULCES;NA;NA;NA;1;8;0;8;272.107743683448
4748;1;3;GALLETAS SALADAS;NA;NA;NA;1;9;5;4;272.107743683448
4748;1;4;HARÍNA DE MAÍZ;56;1;397;3;4;2;2;272.107743683448
4748;1;5;AVENA;56;1;450;3;1;0.5;0.5;272.107743683448
4748;1;7;ARROZ;NA;NA;NA;2;15;2;13;272.107743683448
4748;1;10;CARNE DE CERDO;NA;NA;NA;2;2.5;0;2.5;272.107743683448
4748;1;13;LECHE LÍQUIDA;31;2;1;7;2;0;2;272.107743683448
4748;1;15;HUEVOS;NA;NA;NA;1;15;0;15;272.107743683448
4748;1;16;ACEITE;57;1;2;7;0.5;0.25;0.25;272.107743683448
4748;1;17;MANTEQUILLA;105;1;425;3;1;0.75;0.25;272.107743683448
4748;1;18;SALAMI;NA;NA;NA;2;2.5;0.5;2;272.107743683448
4748;1;23;ATÚN EN ACEITE;63;1;170;3;2;1;1;272.107743683448
4748;1;24;PLÁTANO VERDE;NA;NA;NA;1;5;0;5;272.107743683448
4748;1;27;HABICHUELAS SUELTAS;NA;NA;NA;60;2;0;2;272.107743683448
4748;1;29;AZUCARES;NA;NA;NA;2;5;2;3;272.107743683448
4748;1;30;CHOCOLATE O COCOA;99;1;26;3;10;0;10;272.107743683448
4734;1;3;GALLETAS SALADAS;8;1;40;3;3;2;1;272.107743683448
4734;1;5;AVENA;56;1;650;3;2;1;1;272.107743683448
4734;1;6;FIEDOS O SPAGUETTIS (PASTAS);8;1;350;3;4;2;2;272.107743683448
4734;1;7;ARROZ;NA;NA;NA;2;10;5;5;272.107743683448
4734;1;10;CARNE DE CERDO;NA;NA;NA;2;2;0;2;272.107743683448
4734;1;22;ATÚN EN AGUA;63;1;4;4;3;0;3;272.107743683448
4734;1;16;ACEITE;57;1;2;7;0.5;0.25;0.25;272.107743683448
4734;1;17;MANTEQUILLA;105;1;1;2;0.5;0.25;0.25;272.107743683448
4734;1;18;SALAMI;81;1;2;2;1;0;1;272.107743683448
4734;1;24;PLÁTANO VERDE;NA;NA;NA;1;20;5;15;272.107743683448
4734;1;25;GUINEITO VERDE;NA;NA;NA;1;20;10;10;272.107743683448
4734;1;26;PAPAS;NA;NA;NA;2;5;0;5;272.107743683448
4734;1;27;HABICHUELAS SUELTAS;NA;NA;NA;60;4;1;3;272.107743683448
4734;1;29;AZUCARES;NA;NA;NA;2;5;2;3;272.107743683448
4734;1;30;CHOCOLATE O COCOA;NA;NA;NA;1;10;5;5;272.107743683448
4795;1;6;FIEDOS O SPAGUETTIS (PASTAS);56;1;14;4;2;2;0;181.09375
4746;1;14;LECHE EN POLVO;56;1;400;3;1;0.5;0.5;272.107743683448
4746;1;24;PLÁTANO VERDE;NA;NA;NA;1;8;0;8;272.107743683448
4746;1;29;AZUCARES;NA;NA;NA;2;2;0;2;272.107743683448
4721;1;4;HARÍNA DE MAÍZ;56;1;397;3;3;3;0;272.107743683448
4721;1;6;FIEDOS O SPAGUETTIS (PASTAS);NA;NA;NA;2;4;2;2;272.107743683448
4721;1;7;ARROZ;NA;NA;NA;2;30;19;11;272.107743683448
4721;1;15;HUEVOS;NA;NA;NA;1;22;12;10;272.107743683448
4721;1;16;ACEITE;57;1;4;7;1;0.75;0.25;272.107743683448
4721;1;17;MANTEQUILLA;105;1;227;3;1;0.5;0.5;272.107743683448
4721;1;24;PLÁTANO VERDE;NA;NA;NA;1;5;1.3;3.7;272.107743683448
4136;1;1;PANES;NA;NA;NA;1;20;0;20;501.878259829927
4136;1;5;AVENA;98;1;1;2;1;0;1;501.878259829927
4136;1;6;FIEDOS O SPAGUETTIS (PASTAS);NA;NA;NA;8;2;0;2;501.878259829927
4136;1;7;ARROZ;NA;NA;NA;2;15;2;13;501.878259829927
4136;1;9;POLLO;NA;NA;NA;2;5;1;4;501.878259829927
4136;1;10;CARNE DE CERDO;NA;NA;NA;2;3;0;3;501.878259829927
4136;1;14;LECHE EN POLVO;NA;NA;NA;2;2;0;2;501.878259829927
4136;1;15;HUEVOS;NA;NA;NA;1;15;3;12;501.878259829927
4136;1;16;ACEITE;57;1;64;4;0.5;0;0.5;501.878259829927
4136;1;18;SALAMI;NA;NA;NA;2;2;1;1;501.878259829927
4136;1;23;ATÚN EN ACEITE;63;1;3;4;2;0;2;501.878259829927
4136;1;26;PAPAS;NA;NA;NA;2;3;0;3;501.878259829927
4136;1;27;HABICHUELAS SUELTAS;NA;NA;NA;2;1.5;0;1.5;501.878259829927
4136;1;28;HABICHUELAS ENLATADAS;NA;NA;NA;2;4;4;0;501.878259829927
4136;1;29;AZUCARES;NA;NA;NA;2;4;1.75;2.25;501.878259829927
4041;1;6;FIEDOS O SPAGUETTIS (PASTAS);56;1;1;2;0.5;0.25;0.25;501.878259829927
4041;1;7;ARROZ;NA;NA;NA;2;6;2;4;501.878259829927
4041;1;14;LECHE EN POLVO;98;1;120;3;1;0;1;501.878259829927
4041;1;19;SARDINAS EN AGUA;63;1;125;3;2;0;2;501.878259829927
4041;1;24;PLÁTANO VERDE;NA;NA;NA;1;11;3;8;501.878259829927
4041;1;26;PAPAS;NA;NA;NA;2;2;1;1;501.878259829927
4041;1;27;HABICHUELAS SUELTAS;NA;NA;NA;2;1;0;1;501.878259829927
4139;1;6;FIEDOS O SPAGUETTIS (PASTAS);NA;NA;NA;1;2;0;2;501.878259829927
4139;1;7;ARROZ;NA;NA;NA;2;10;0;10;501.878259829927
4139;1;14;LECHE EN POLVO;NA;NA;NA;2;0.5;0.3;0.2;501.878259829927
4139;1;15;HUEVOS;NA;NA;NA;1;10;0;10;501.878259829927
4139;1;16;ACEITE;NA;NA;NA;2;1;0.15;0.85;501.878259829927
4139;1;23;ATÚN EN ACEITE;NA;NA;NA;63;2;1;1;501.878259829927
4151;1;1;PANES;NA;NA;NA;1;6;0;6;552.06608581292
4151;1;6;FIEDOS O SPAGUETTIS (PASTAS);23;1;7;4;1;1;0;552.06608581292
4151;1;13;LECHE LÍQUIDA;31;1;1;7;1;0;1;552.06608581292
4151;1;16;ACEITE;57;1;64;4;1;1;0;552.06608581292
4151;1;19;SARDINAS EN AGUA;63;1;5;4;3;2;1;552.06608581292
4151;1;21;PICA PICA;63;1;55;3;3;1;2;552.06608581292
4151;1;26;PAPAS;NA;NA;NA;2;2;0;2;552.06608581292
4151;1;30;CHOCOLATE O COCOA;NA;NA;NA;1;6;0;2;552.06608581292
4115;1;4;HARÍNA DE MAÍZ;56;1;397;3;3;2;1;552.06608581292
4115;1;5;AVENA;NA;NA;NA;2;3;1;2;552.06608581292
4115;1;6;FIEDOS O SPAGUETTIS (PASTAS);56;1;400;3;6;3;3;552.06608581292
4115;1;7;ARROZ;NA;NA;NA;2;30;14;16;552.06608581292
4115;1;13;LECHE LÍQUIDA;31;1;1;7;3;0;3;552.06608581292
4115;1;15;HUEVOS;NA;NA;NA;1;25;0;25;552.06608581292
4115;1;16;ACEITE;57;1;64;4;0.5;0;0.5;552.06608581292
4115;1;17;MANTEQUILLA;105;1;425;3;2;1;1;552.06608581292
4115;1;18;SALAMI;NA;NA;NA;2;0.25;0;0.25;552.06608581292
4115;1;21;PICA PICA;63;1;425;3;1;0;1;552.06608581292
4115;1;25;GUINEITO VERDE;NA;NA;NA;1;30;0;30;552.06608581292
4115;1;27;HABICHUELAS SUELTAS;NA;NA;NA;2;4;1;3;552.06608581292
4115;1;29;AZUCARES;NA;NA;NA;2;3;0;3;552.06608581292
4115;1;30;CHOCOLATE O COCOA;NA;NA;NA;1;10;0;10;552.06608581292
4368;1;7;ARROZ;NA;NA;NA;2;10;5;5;416.444999999999
4294;1;4;HARÍNA DE MAÍZ;56;1;2;2;3;2;1;694.074999999998
4294;1;6;FIEDOS O SPAGUETTIS (PASTAS);56;1;1;2;1;0;1;694.074999999998
4294;1;7;ARROZ;NA;NA;NA;2;10;5;5;694.074999999998
4294;1;16;ACEITE;20;1;32;4;0.5;0.25;0.25;694.074999999998
4294;1;29;AZUCARES;NA;NA;NA;2;2;1.5;0.5;694.074999999998
4390;1;3;GALLETAS SALADAS;NA;NA;NA;1;4;0;4;462.716666666665
4390;1;5;AVENA;NA;NA;NA;2;0.5;0;0.5;462.716666666665
4390;1;6;FIEDOS O SPAGUETTIS (PASTAS);56;1;1;2;1;0;1;462.716666666665
4390;1;7;ARROZ;NA;NA;NA;2;25;0;25;462.716666666665
4390;1;29;AZUCARES;NA;NA;NA;2;2;0;2;462.716666666665
4390;1;16;ACEITE;20;1;1;7;0.5;0.25;0.25;462.716666666665
4390;1;17;MANTEQUILLA;105;1;1;2;0.5;0.4;0.1;462.716666666665
4390;1;18;SALAMI;NA;NA;NA;2;1.5;0;1.5;462.716666666665
2812;1;2;GALLETAS DULCES;8;1;13;3;16;0;16;144.875
2812;1;4;HARÍNA DE MAÍZ;56;1;14;4;3;3;0;144.875
2812;1;5;AVENA;NA;NA;NA;2;1;1;0;144.875
2812;1;14;LECHE EN POLVO;63;1;400;3;1;0.25;0.75;144.875
2812;1;6;FIEDOS O SPAGUETTIS (PASTAS);NA;NA;NA;2;0.5;0.5;0;144.875
2812;1;16;ACEITE;57;1;2;2;1;0.25;0.75;144.875
2812;1;18;SALAMI;NA;NA;NA;2;1;0;1;144.875
2812;1;29;AZUCARES;NA;NA;NA;2;2;0;2;144.875
2822;1;6;FIEDOS O SPAGUETTIS (PASTAS);56;1;1;2;0.75;0.75;0;171.628230616302
2822;1;14;LECHE EN POLVO;NA;NA;NA;2;0.5;0;0.5;171.628230616302
2822;1;29;AZUCARES;NA;NA;NA;2;0.5;0;0.5;171.628230616302
2154;1;14;LECHE EN POLVO;63;1;800;3;1;0.5;0.5;552.06608581292
2154;1;24;PLÁTANO VERDE;NA;NA;NA;1;5;0;5;552.06608581292
2154;1;25;GUINEITO VERDE;NA;NA;NA;66;1;0;1;552.06608581292
2154;1;27;HABICHUELAS SUELTAS;8;NA;1;2;1;0;1;552.06608581292
2154;1;29;AZUCARES;NA;NA;NA;2;2;0;2;552.06608581292
2142;1;6;FIEDOS O SPAGUETTIS (PASTAS);NA;NA;NA;56;1;1;0;501.878259829927
2142;1;7;ARROZ;NA;NA;NA;2;5;5;0;501.878259829927
2142;1;13;LECHE LÍQUIDA;NA;NA;NA;7;0.5;0;0.5;501.878259829927
2142;1;18;SALAMI;81;1;NA;NA;0.33;0;0.33;501.878259829927
2142;1;20;SARDINAS EN ACEITE;63;1;125;3;1;0;1;501.878259829927
2142;1;27;HABICHUELAS SUELTAS;56;1;1;2;1;1;0;501.878259829927
2142;1;29;AZUCARES;NA;NA;NA;2;1;1;0;501.878259829927
2141;1;1;PANES;NA;NA;NA;1;15;2;13;501.878259829927
2141;1;2;GALLETAS DULCES;NA;NA;NA;1;12;6;6;501.878259829927
2141;1;4;HARÍNA DE MAÍZ;56;1;1;2;1;0.5;0.5;501.878259829927
2141;1;6;FIEDOS O SPAGUETTIS (PASTAS);56;1;1;2;1;1;0;501.878259829927
2141;1;7;ARROZ;NA;NA;NA;2;3;2;1;501.878259829927
2141;1;9;POLLO;NA;NA;NA;2;2;0;2;501.878259829927
2141;1;13;LECHE LÍQUIDA;31;1;1;7;1;0;1;501.878259829927
2141;1;15;HUEVOS;NA;NA;NA;1;4;2;2;501.878259829927
2141;1;16;ACEITE;57;1;64;4;0.5;0.5;0;501.878259829927
2141;1;17;MANTEQUILLA;105;1;1;2;1;0.5;0.5;501.878259829927
2141;1;18;SALAMI;81;1;1;2;0.25;0;0.25;501.878259829927
2141;1;20;SARDINAS EN ACEITE;63;1;75;3;1;1;0;501.878259829927
2141;1;24;PLÁTANO VERDE;NA;NA;NA;1;2;0;2;501.878259829927
2141;1;29;AZUCARES;NA;NA;NA;2;4;4;0;501.878259829927
2539;1;23;ATÚN EN ACEITE;63;1;6;4;2;2;0;260.278124999999
2539;1;24;PLÁTANO VERDE;NA;NA;NA;1;50;20;30;260.278124999999
2539;1;26;PAPAS;NA;NA;NA;2;3;0;3;260.278124999999
2539;1;27;HABICHUELAS SUELTAS;NA;NA;NA;2;2;0;2;260.278124999999
2539;1;29;AZUCARES;NA;NA;NA;2;5;5;0;260.278124999999
2539;1;30;CHOCOLATE O COCOA;56;1;400;3;0.5;0.2;0.3;260.278124999999
2527;1;4;HARÍNA DE MAÍZ;56;1;100;3;1;0;1;260.278124999999
2527;1;5;AVENA;56;1;550;3;1;0.5;0.5;260.278124999999
2527;1;6;FIEDOS O SPAGUETTIS (PASTAS);56;1;611;3;3;1.5;1.5;260.278124999999
2527;1;15;HUEVOS;NA;NA;NA;1;5;0;5;260.278124999999
2527;1;16;ACEITE;57;1;2;7;0.5;0;0.5;260.278124999999
2527;1;22;ATÚN EN AGUA;63;1;5;4;4;2;2;260.278124999999
2527;1;29;AZUCARES;NA;NA;NA;2;4;1;3;260.278124999999
2528;1;2;GALLETAS DULCES;8;1;12;1;3;0;3;260.278124999999
2528;1;4;HARÍNA DE MAÍZ;NA;NA;NA;56;1;1;0;260.278124999999
2528;1;5;AVENA;NA;NA;NA;56;0.5;0;0.5;260.278124999999
2528;1;6;FIEDOS O SPAGUETTIS (PASTAS);56;1;1;2;3;2;1;260.278124999999
2528;1;7;ARROZ;NA;NA;NA;2;75;66;9;260.278124999999
2528;1;15;HUEVOS;NA;NA;NA;1;60;45;15;260.278124999999
2528;1;16;ACEITE;57;1;1389;5;1.5;1;0.5;260.278124999999
2528;1;18;SALAMI;NA;NA;NA;2;2;1.5;0.5;260.278124999999
2528;1;24;PLÁTANO VERDE;NA;NA;NA;1;56;32;24;260.278124999999
2528;1;26;PAPAS;NA;NA;NA;2;2;0;2;260.278124999999
2528;1;28;HABICHUELAS ENLATADAS;63;1;425;3;1;1;0;260.278124999999
2528;1;29;AZUCARES;NA;NA;NA;2;2;0;0;260.278124999999
2538;1;1;PANES;NA;NA;NA;1;2;0;2;260.278124999999
2538;1;2;GALLETAS DULCES;NA;NA;NA;1;10;2;8;260.278124999999
2538;1;4;HARÍNA DE MAÍZ;56;1;14;4;1;1;0;260.278124999999
2538;1;5;AVENA;56;1;400;3;1;1;0;260.278124999999
2538;1;6;FIEDOS O SPAGUETTIS (PASTAS);56;1;400;3;1;1;0;260.278124999999
2538;1;7;ARROZ;NA;NA;NA;2;1;1;0;260.278124999999
2538;1;8;CARNE DE RES;NA;NA;NA;2;10;3;7;260.278124999999
2538;1;9;POLLO;NA;NA;NA;2;1;0;1;260.278124999999
2538;1;13;LECHE LÍQUIDA;31;1;25;4;2;0;2;260.278124999999
2538;1;15;HUEVOS;31;1;30;1;2;0;2;260.278124999999
2538;1;16;ACEITE;57;1;64;4;0.25;0.05;0.2;260.278124999999
2538;1;17;MANTEQUILLA;105;1;1;2;0.25;0.1;0.15;260.278124999999
2538;1;18;SALAMI;NA;NA;NA;2;0.5;0;0.5;260.278124999999
2538;1;21;PICA PICA;63;1;425;3;1;0;1;260.278124999999
2538;1;25;GUINEITO VERDE;NA;NA;NA;1;10;0;10;260.278124999999
2538;1;27;HABICHUELAS SUELTAS;NA;NA;NA;2;2;0;2;260.278124999999
2538;1;29;AZUCARES;NA;NA;NA;2;1.5;0;1.5;260.278124999999
2538;1;30;CHOCOLATE O COCOA;87;1;16;4;0.3;0.15;0.15;260.278124999999
2540;1;3;GALLETAS SALADAS;23;1;20;1;2;0;2;260.278124999999
2540;1;4;HARÍNA DE MAÍZ;56;1;400;3;1;1;0;260.278124999999
2540;1;5;AVENA;56;1;625;3;2;2;0;260.278124999999
2540;1;6;FIEDOS O SPAGUETTIS (PASTAS);56;1;400;3;7;5;2;260.278124999999
2540;1;7;ARROZ;NA;NA;NA;2;20;8;12;260.278124999999
2540;1;8;CARNE DE RES;NA;NA;NA;2;3;3;0;260.278124999999
2540;1;9;POLLO;NA;NA;NA;2;3;1;2;260.278124999999
2540;1;10;CARNE DE CERDO;NA;NA;NA;2;3;1;2;260.278124999999
2540;1;11;PESCADO;NA;NA;NA;2;3;0;3;260.278124999999
2540;1;13;LECHE LÍQUIDA;87;1;34;4;2;0;2;260.278124999999
2540;1;15;HUEVOS;NA;NA;NA;1;10;2;8;260.278124999999
2540;1;16;ACEITE;57;1;128;4;0.75;0.5;0.25;260.278124999999
2540;1;17;MANTEQUILLA;105;1;45;4;0.5;0.25;0.25;260.278124999999
2540;1;18;SALAMI;NA;NA;NA;2;2;1;1;260.278124999999
2540;1;19;SARDINAS EN AGUA;63;1;425;3;2;1;1;260.278124999999
2540;1;22;ATÚN EN AGUA;63;1;6;4;4;2;2;260.278124999999
2540;1;24;PLÁTANO VERDE;NA;NA;NA;1;12;3;9;260.278124999999
2540;1;26;PAPAS;NA;NA;NA;2;3;0;3;260.278124999999
2540;1;27;HABICHUELAS SUELTAS;NA;NA;NA;2;3;0;3;260.278124999999
2540;1;28;HABICHUELAS ENLATADAS;63;1;15;4;2;2;0;260.278124999999
2540;1;29;AZUCARES;NA;NA;NA;2;8;4;4;260.278124999999
2540;1;30;CHOCOLATE O COCOA;NA;NA;NA;1;15;10;5;260.278124999999
2549;1;3;GALLETAS SALADAS;8;1;35;3;2;0;2;166.739701555276
2549;1;5;AVENA;56;1;NA;NA;0.5;0;0.5;166.739701555276
2549;1;16;ACEITE;57;1;64;4;0.5;0;0.5;166.739701555276
2549;1;17;MANTEQUILLA;87;1;1;2;0.5;0;0.5;166.739701555276
2549;1;25;GUINEITO VERDE;NA;NA;NA;1;2;0;2;166.739701555276
2549;1;29;AZUCARES;NA;NA;NA;2;1;0;1;166.739701555276
12045;1;7;ARROZ;NA;NA;NA;2;5;0;5;137.302584493041
2767;1;7;ARROZ;NA;NA;NA;2;30;13;17;137.302584493041
2767;1;16;ACEITE;20;1;4;4;0.5;0.25;0.25;137.302584493041
2612;1;7;ARROZ;NA;NA;NA;2;10;0;10;302.341937426053
4310;1;24;PLÁTANO VERDE;NA;NA;NA;1;2;0;2;594.921428571427
4310;1;28;HABICHUELAS ENLATADAS;63;1;450;3;2;0;2;594.921428571427
4456;1;5;AVENA;NA;NA;NA;2;2;0;2;347.037499999999
4456;1;7;ARROZ;NA;NA;NA;2;15;0;15;347.037499999999
4456;1;9;POLLO;NA;NA;NA;2;2;0;2;347.037499999999
4456;1;13;LECHE LÍQUIDA;NA;NA;NA;20;3;0;3;347.037499999999
4456;1;15;HUEVOS;NA;NA;NA;1;15;7;8;347.037499999999
4456;1;16;ACEITE;57;1;2;2;0.5;0.25;0.25;347.037499999999
4456;1;18;SALAMI;NA;NA;NA;2;2;0;2;347.037499999999
4456;1;26;PAPAS;NA;NA;NA;2;4;0;4;347.037499999999
4456;1;27;HABICHUELAS SUELTAS;NA;NA;NA;2;6;3;3;347.037499999999
4456;1;29;AZUCARES;NA;NA;NA;2;3;0;3;347.037499999999
4441;1;7;ARROZ;NA;NA;NA;2;5;1;4;332.408333333333
4322;1;4;HARÍNA DE MAÍZ;56;1;14;4;2;1;1;415.510416666666
4322;1;6;FIEDOS O SPAGUETTIS (PASTAS);56;1;14;4;2;1;1;415.510416666666
4322;1;14;LECHE EN POLVO;56;1;1;2;0.5;0.25;0.25;415.510416666666
4322;1;16;ACEITE;57;1;128;4;0.5;0.15;0.35;415.510416666666
4322;1;24;PLÁTANO VERDE;NA;NA;NA;1;30;25;5;415.510416666666
4322;1;25;GUINEITO VERDE;NA;NA;NA;1;20;20;0;415.510416666666
4322;1;29;AZUCARES;56;1;5;2;1;0;1;415.510416666666
4466;1;7;ARROZ;NA;NA;NA;2;18;0;18;347.037499999999
4466;1;16;ACEITE;57;1;4;7;1;0.5;0.5;347.037499999999
4466;1;29;AZUCARES;56;1;5;2;3;0;3;347.037499999999
4466;1;30;CHOCOLATE O COCOA;87;1;32;4;1;1;0;347.037499999999
4324;1;2;GALLETAS DULCES;8;1;30;3;20;16;4;415.510416666666
4324;1;7;ARROZ;NA;NA;NA;2;2;2;0;415.510416666666
4324;1;14;LECHE EN POLVO;63;1;272;3;0.5;0.25;0.25;415.510416666666
4285;1;14;LECHE EN POLVO;NA;NA;NA;3;1800;0;0;378.586363636362
4323;1;1;PANES;NA;NA;NA;1;5;0;5;415.510416666666
4323;1;4;HARÍNA DE MAÍZ;56;1;14;4;2;1;1;415.510416666666
4323;1;5;AVENA;56;1;900;3;0.5;0.25;0.25;415.510416666666
4323;1;6;FIEDOS O SPAGUETTIS (PASTAS);56;1;14;4;7;2;5;415.510416666666
