id_variedad;descripcion;id_unidad_medida_presentacion;frecuencia_real;pct_acumulado
293;Aceite de soya;56.0;65;92.8
592;Bebidas hidratantes (Gatorade, Powerade y similares);20.0;64;92.9
554;Vinagre dorado;98.0;64;92.9
3809;Macarroni & Cheese;23.0;63;93.0
76;Corn Flakes (incluye rice flakes, cereales de chocolates, frutas y demás);23.0;63;93.0
4149;Galletas rellenas de queso;8.0;62;93.1
67;Arroz corriente;97.0;62;93.1
4461;Pasa deshidratada;25.0;61;93.2
4916;Atún en trozo en agua;63.0;61;93.2
600;Jugo concentrado de naranja;31.0;60;93.3
9;Pan integral;56.0;59;93.3
522;Anís;98.0;58;93.4
586;Chocolate en barra;23.0;54;93.4
18;Galletas de harina / Galleta de manteca;56.0;54;93.5
497;Hielo casero;56.0;53;93.5
57;Maicena (fécula de maíz) /Maicera (harina de maíz procesada);23.0;52;93.6
658;Picadura de tabaco;56.0;50;93.6
451;Vegetales mixtos enlatados;63.0;50;93.7
245;Leche semidescremada liquida con UHT;31.0;50;93.7
58;Harina de trigo;56.0;49;93.8
251;Leche en polvo entera;63.0;49;93.8
624;Ron blanco;20.0;49;93.8
638;Vino tinto;20.0;49;93.9
51;Cazabe;8.0;49;93.9
586;Chocolate en barra;98.0;48;94.0
369;Habichuelas rojas secas;63.0;48;94.0
515;Cilantrico o verdura;12.0;47;94.0
59;Harina de negrito (fécula de trigo);23.0;46;94.1
410;Ajo;51.0;45;94.1
243;Leche entera liquida con UHT;25.0;45;94.2
591;Bebidas energizantes (911, Vive100 y similares);87.0;44;94.2
57;Maicena (fécula de maíz) /Maicera (harina de maíz procesada);25.0;44;94.2
616;Jugo envasado de coctel de frutas (fruit punch);87.0;43;94.3
610;Jugo envasado de naranja;25.0;42;94.3
236;Sardinas en agua y sal;63.0;42;94.4
376;Guandules verdes desgranados;63.0;42;94.4
649;Malta;8.0;41;94.4
611;Jugo envasado de pera;25.0;41;94.5
573;Compota;55.0;41;94.5
6467;Sopa con fideo (Maggie, Knorr y similares);98.0;41;94.5
368;Habichuelas pintas secas;56.0;40;94.6
563;Pimienta en granos;98.0;40;94.6
435;Alcaparrado (aceitunas y alcaparras);87.0;40;94.6
629;Whisky;20.0;40;94.7
569;Caldo de pollo (Sopita Concentrada);25.0;40;94.7
324;Guineo verde (guineíto);91.0;39;94.7
635;Ponches;20.0;39;94.8
13;Pan de sándwich rebanado blanco;56.0;38;94.8
608;Jugo envasado de manzana;25.0;36;94.8
554;Vinagre dorado;20.0;36;94.9
545;Pasta de tomate(**);56.0;35;94.9
410;Ajo;98.0;35;94.9
269;Queso picantino parmesano rallado;98.0;35;95.0
297;Aceite de oliva;87.0;35;95.0
612;Jugo envasado de piña;31.0;35;95.0
442;Habichuelas negras enlatadas;63.0;34;95.0
587;Cocoa y chocolate en polvo;87.0;33;95.1
87;Fideos;8.0;33;95.1
367;Habichuelas negras secas;63.0;33;95.1
498;Bombones y chocolates dulces;14.0;33;95.2
257;Leche maternizada (sustituto de lactancia materna, hasta 1 año);63.0;32;95.2
571;Sopa instantánea (sopa china);115.0;32;95.2
616;Jugo envasado de coctel de frutas (fruit punch);20.0;32;95.2
243;Leche entera liquida con UHT;20.0;32;95.3
545;Pasta de tomate(**);23.0;32;95.3
256;Leches reforzadas con hierro y minerales (fórmula infantil),;56.0;32;95.3
4148;Galletas de ajo;56.0;31;95.4
376;Guandules verdes desgranados;60.0;31;95.4
243;Leche entera liquida con UHT;63.0;31;95.4
611;Jugo envasado de pera;23.0;31;95.4
4919;Leche líquida con chocolate;23.0;31;95.5
314;Plátano verde;91.0;30;95.5
57;Maicena (fécula de maíz) /Maicera (harina de maíz procesada);56.0;30;95.5
555;Vinagre blanco;87.0;30;95.5
499;Caramelos, chicles;25.0;29;95.6
4148;Galletas de ajo;8.0;29;95.6
4917;Atún desmenuzado en aceite;63.0;29;95.6
254;Leche evaporada;23.0;29;95.6
608;Jugo envasado de manzana;87.0;29;95.7
457;Papas fritas (snack y picaderas);98.0;28;95.7
470;Miel, polen y propóleo, jalea real;20.0;28;95.7
183;Salchichas de hot-dog;8.0;28;95.7
591;Bebidas energizantes (911, Vive100 y similares);20.0;28;95.8
498;Bombones y chocolates dulces;99.0;27;95.8
59;Harina de negrito (fécula de trigo);25.0;27;95.8
259;Suplementos alimenticios (Ensure y similares);63.0;27;95.8
355;Maní tostado;98.0;26;95.9
247;Leche descremada liquida con UHT;87.0;26;95.9
579;Snacks y picaderas de todo tipo (excepto papitas fritas);8.0;26;95.9
76;Corn Flakes (incluye rice flakes, cereales de chocolates, frutas y demás);98.0;25;95.9
371;Habichuelas blanditas;60.0;25;95.9
438;Guandules secos en lata;63.0;24;96.0
556;Vinagre balsámico;87.0;24;96.0
459;Azúcar morena;8.0;24;96.0
558;Bija en polvo;98.0;24;96.0
216;Atún;63.0;24;96.0
66;Arroz selecto;8.0;24;96.1
537;Ajo en polvo;98.0;23;96.1
545;Pasta de tomate(**);60.0;23;96.1
300;Aceite de canola;87.0;23;96.1
616;Jugo envasado de coctel de frutas (fruit punch);25.0;23;96.1
652;Cigarrillos con filtro;23.0;23;96.2
484;Dulces de navidad surtidos;56.0;23;96.2
521;Ajinomoto;98.0;22;96.2
251;Leche en polvo entera;31.0;22;96.2
19;Galletas de soda;98.0;22;96.2
72;Avena molida saborizada (Frescavena y otras);98.0;22;96.3
546;Salsa china;20.0;21;96.3
5882;Bizcocho envasado de maíz;56.0;21;96.3
546;Salsa china;87.0;21;96.3
110;Pollo fresco;8.0;21;96.3
56;Harinas de maíz;98.0;21;96.4
436;Alcaparras;98.0;21;96.4
578;Gelatina en polvo;25.0;21;96.4
536;Ajo en pasta;87.0;21;96.4
307;Mantequilla;105.0;21;96.4
324;Guineo verde (guineíto);66.0;20;96.4
86;Coditos;8.0;20;96.5
75;Cereales de trigo;63.0;19;96.5
5042;Palitos de ajo;56.0;19;96.5
281;Leche de soya;98.0;19;96.5
534;Orégano;56.0;19;96.5
4919;Leche líquida con chocolate;25.0;19;96.5
13;Pan de sándwich rebanado blanco;117.0;18;96.6
410;Ajo;8.0;18;96.6
575;Cremora;87.0;18;96.6
5965;Jugo de fresa envasado;31.0;18;96.6
297;Aceite de oliva;20.0;18;96.6
609;Jugo envasado de melocotón;25.0;18;96.6
5049;Jugo envasado de cereza;31.0;18;96.7
59;Harina de negrito (fécula de trigo);56.0;18;96.7
254;Leche evaporada;25.0;18;96.7
18;Galletas de harina / Galleta de manteca;8.0;18;96.7
3571;Masa para empanada de harina;8.0;17;96.7
4919;Leche líquida con chocolate;87.0;17;96.7
24;Galletas de Avena / Granola;8.0;17;96.7
578;Gelatina en polvo;23.0;17;96.8
634;Clerén;20.0;17;96.8
277;Yogurt bebible natural;115.0;17;96.8
529;Manzanilla;98.0;17;96.8
609;Jugo envasado de melocotón;23.0;17;96.8
506;Sal molida refinada;8.0;16;96.8
587;Cocoa y chocolate en polvo;99.0;16;96.8
67;Arroz corriente;60.0;16;96.9
6031;Gomitas dulces;56.0;16;96.9
3810;Espirales;56.0;16;96.9
319;Fresa;8.0;16;96.9
571;Sopa instantánea (sopa china);56.0;16;96.9
19;Galletas de soda;56.0;15;96.9
295;Aceite de coco;20.0;15;96.9
369;Habichuelas rojas secas;56.0;15;97.0
499;Caramelos, chicles;23.0;15;97.0
87;Fideos;98.0;15;97.0
541;Mayonesa;55.0;15;97.0
618;Jugo envasado de Aloe;87.0;15;97.0
523;Canela en astilla;56.0;15;97.0
56;Harinas de maíz;8.0;15;97.0
4413;Sal en grano;56.0;15;97.0
3807;Macarrones;23.0;15;97.1
3812;Mostachones;56.0;15;97.1
260;Queso cheddar amarillo;8.0;15;97.1
458;Azúcar blanca refinada;56.0;15;97.1
432;Ensalada cruda (Varias hortalizas);8.0;15;97.1
322;Guayaba;63.0;14;97.1
545;Pasta de tomate(**);87.0;14;97.1
569;Caldo de pollo (Sopita Concentrada);8.0;14;97.1
6446;Avena molida no saborizada;98.0;14;97.2
586;Chocolate en barra;8.0;14;97.2
608;Jugo envasado de manzana;23.0;14;97.2
606;Jugo envasado de chinola;31.0;14;97.2
587;Cocoa y chocolate en polvo;63.0;14;97.2
97;Carne molida de res;8.0;14;97.2
297;Aceite de oliva;63.0;14;97.2
20;Galletas dulces;98.0;14;97.2
596;Agua saborizada;20.0;14;97.3
368;Habichuelas pintas secas;63.0;14;97.3
501;Paletas, mentas;98.0;14;97.3
307;Mantequilla;14.0;13;97.3
611;Jugo envasado de pera;87.0;13;97.3
405;Brócolis;8.0;13;97.3
491;Helados de fruta a base de leche;105.0;13;97.3
374;Guandules verdes en cáscara;63.0;13;97.3
515;Cilantrico o verdura;92.0;13;97.3
316;Cereza;60.0;13;97.4
88;Spaghetti;98.0;13;97.4
528;Nuez moscada;98.0;13;97.4
4918;Atún desmenuzado en agua;63.0;13;97.4
159;Chuleta ahumada;8.0;13;97.4
514;Cilantro;8.0;13;97.4
267;Queso holandés (Geo, gouda y similares);8.0;13;97.4
433;Aceitunas verdes con semillas;87.0;13;97.4
613;Jugo envasado de tamarindo;20.0;13;97.4
6545;Mabí de limón;20.0;12;97.5
544;Aderezos para sándwich;87.0;12;97.5
560;Canela en polvo;98.0;12;97.5
410;Ajo;20.0;12;97.5
316;Cereza;63.0;12;97.5
3809;Macarroni & Cheese;25.0;12;97.5
5490;Jugo envasado de mango;31.0;12;97.5
275;Yogurt bebible saborizado;115.0;12;97.5
616;Jugo envasado de coctel de frutas (fruit punch);8.0;12;97.5
498;Bombones y chocolates dulces;56.0;12;97.6
610;Jugo envasado de naranja;56.0;12;97.6
2848;Mabí de limón servido;20.0;12;97.6
616;Jugo envasado de coctel de frutas (fruit punch);23.0;11;97.6
587;Cocoa y chocolate en polvo;56.0;11;97.6
369;Habichuelas rojas secas;8.0;11;97.6
59;Harina de negrito (fécula de trigo);98.0;11;97.6
542;Kétchup;63.0;11;97.6
4952;Sobre de naranja agria en polvo;98.0;11;97.6
548;Preparado líquido de Salsa de tomate (Ragú y similares);87.0;11;97.6
5;Pan de mantequilla;56.0;11;97.6
356;Nueces y semillas surtidas;56.0;11;97.7
457;Papas fritas (snack y picaderas);8.0;11;97.7
457;Papas fritas (snack y picaderas);63.0;11;97.7
569;Caldo de pollo (Sopita Concentrada);1.0;11;97.7
571;Sopa instantánea (sopa china);8.0;11;97.7
108;Carne corriente de res;8.0;11;97.7
112;Pechuga de pollo;8.0;11;97.7
296;Aceite de maíz;87.0;10;97.7
348;Tamarindo;8.0;10;97.7
553;Sazón líquido;56.0;10;97.7
20;Galletas dulces;63.0;10;97.8
3506;Bizcocho envasado de vainilla;98.0;10;97.8
316;Cereza;56.0;10;97.8
92;Lasagña;23.0;10;97.8
367;Habichuelas negras secas;56.0;10;97.8
552;Sazón en polvo;56.0;10;97.8
53;Tortilla de maíz (para tacos);8.0;10;97.8
596;Agua saborizada;87.0;10;97.8
598;Jugo concentrado de fruit-punch;87.0;10;97.8
608;Jugo envasado de manzana;20.0;10;97.8
371;Habichuelas blanditas;63.0;10;97.8
642;Sidra;20.0;10;97.8
507;Sal marina;56.0;10;97.9
611;Jugo envasado de pera;8.0;10;97.9
257;Leche maternizada (sustituto de lactancia materna, hasta 1 año);87.0;10;97.9
261;Queso danés;8.0;10;97.9
281;Leche de soya;56.0;10;97.9
76;Corn Flakes (incluye rice flakes, cereales de chocolates, frutas y demás);115.0;10;97.9
386;Papas;56.0;10;97.9
57;Maicena (fécula de maíz) /Maicera (harina de maíz procesada);98.0;9;97.9
535;Orégano en polvo;56.0;9;97.9
4948;Cilantro en grano;98.0;9;97.9
3076;Habichuela negra con coco en lata;63.0;9;97.9
484;Dulces de navidad surtidos;8.0;9;97.9
396;Apio planta, apio gusto;8.0;9;98.0
254;Leche evaporada;87.0;9;98.0
581;Café molido;87.0;9;98.0
515;Cilantrico o verdura;8.0;9;98.0
348;Tamarindo;56.0;9;98.0
3242;Galleta con queso;8.0;9;98.0
408;Cebolla roja;8.0;9;98.0
1892;Alimentos para animales;97.0;9;98.0
466;Melaza;20.0;9;98.0
23;Galletas saladas;1.0;9;98.0
1892;Alimentos para animales;56.0;9;98.0
542;Kétchup;20.0;9;98.0
114;Muslos de pollo;8.0;9;98.0
545;Pasta de tomate(**);8.0;9;98.1
306;Mantequilla de maní;87.0;9;98.1
2;Pan sobado;1.0;9;98.1
9;Pan integral;117.0;9;98.1
8776;Salami guisado en lata;63.0;8;98.1
5965;Jugo de fresa envasado;87.0;8;98.1
267;Queso holandés (Geo, gouda y similares);17.0;8;98.1
6451;Leche entera liquida sin lactosa;31.0;8;98.1
566;Vainilla negra;87.0;8;98.1
315;Rulo;91.0;8;98.1
3506;Bizcocho envasado de vainilla;8.0;8;98.1
456;Papa pre cocida congelada;56.0;8;98.1
71;Avena en hojuela o entera;8.0;8;98.1
440;Guisantes enlatados (petit-pois);63.0;8;98.1
6213;Leche con avena envasado;31.0;8;98.2
581;Café molido;63.0;8;98.2
498;Bombones y chocolates dulces;8.0;8;98.2
652;Cigarrillos con filtro;25.0;8;98.2
247;Leche descremada liquida con UHT;23.0;8;98.2
515;Cilantrico o verdura;98.0;8;98.2
277;Yogurt bebible natural;20.0;8;98.2
269;Queso picantino parmesano rallado;87.0;8;98.2
84;Maíz para hacer rositas (palomitas);56.0;8;98.2
392;Ají grande (cubanela);8.0;8;98.2
657;Tabaco para pipa;98.0;8;98.2
645;Cerveza clara;23.0;8;98.2
10;Pan telera;56.0;7;98.2
65;Arroz súper-selecto o premium;56.0;7;98.2
653;Cigarrillos sin filtro;24.0;7;98.2
92;Lasagña;8.0;7;98.3
6579;Mabí de chinola;20.0;7;98.3
5850;Jugo envasado de guayaba;31.0;7;98.3
48;Masitas;56.0;7;98.3
296;Aceite de maíz;98.0;7;98.3
76;Corn Flakes (incluye rice flakes, cereales de chocolates, frutas y demás);8.0;7;98.3
3807;Macarrones;56.0;7;98.3
80;Trigo;56.0;7;98.3
328;Limón agrio;63.0;7;98.3
232;Bacalao;8.0;7;98.3
507;Sal marina;87.0;7;98.3
586;Chocolate en barra;56.0;7;98.3
399;Auyama;79.0;7;98.3
437;Garbanzos enlatados;63.0;7;98.3
590;Soda amarga;20.0;7;98.3
275;Yogurt bebible saborizado;20.0;7;98.3
578;Gelatina en polvo;98.0;7;98.4
523;Canela en astilla;8.0;7;98.4
247;Leche descremada liquida con UHT;25.0;7;98.4
524;Canelilla;98.0;7;98.4
386;Papas;8.0;7;98.4
610;Jugo envasado de naranja;8.0;7;98.4
268;Queso mozzarella;8.0;7;98.4
7460;Mabí de leche con guayaba envasado;20.0;6;98.4
427;Lechuga repollada;8.0;6;98.4
566;Vainilla negra;98.0;6;98.4
552;Sazón en polvo;8.0;6;98.4
408;Cebolla roja;1.0;6;98.4
6472;Refrescos servido;20.0;6;98.4
32;Palomitas de maíz para microondas;56.0;6;98.4
121;Hígado de pollo;8.0;6;98.4
303;Margarina;87.0;6;98.4
545;Pasta de tomate(**);48.0;6;98.4
573;Compota;23.0;6;98.4
276;Yogurt con trozos de frutas;87.0;6;98.5
251;Leche en polvo entera;8.0;6;98.5
280;Crema de leche;31.0;6;98.5
264;Queso crema;8.0;6;98.5
615;Jugo envasado de uvas;31.0;6;98.5
242;Leche fresca o cruda de vaca;87.0;6;98.5
178;Salami súper especial;8.0;6;98.5
491;Helados de fruta a base de leche;115.0;6;98.5
367;Habichuelas negras secas;60.0;6;98.5
400;Zanahoria;8.0;6;98.5
2694;Cerveza clara servida;20.0;6;98.5
641;Vino rosado;20.0;6;98.5
620;Jugo de frutas en polvo;31.0;6;98.5
169;Jamón de pavo;8.0;6;98.5
420;Tomate Barceló o Bugalú;8.0;6;98.5
73;Cereales de arroz;63.0;6;98.5
439;Guandules verdes en lata;60.0;6;98.5
4399;Cilantro molido;98.0;6;98.5
530;Flor de tilo;98.0;6;98.5
15;Pan de hot dog;56.0;6;98.6
14;Pan de sándwich rebanado integral;56.0;6;98.6
8;Pan camarón;56.0;6;98.6
6547;Mabí de bejuco;20.0;6;98.6
5300;Mabí de bejuco servido;20.0;5;98.6
5599;Pan dulce;56.0;5;98.6
58;Harina de trigo;23.0;5;98.6
53;Tortilla de maíz (para tacos);56.0;5;98.6
532;Pimienta en polvo;56.0;5;98.6
535;Orégano en polvo;87.0;5;98.6
6466;Sopa crema (Maggie, Knorr y similares);98.0;5;98.6
6446;Avena molida no saborizada;56.0;5;98.6
303;Margarina;49.0;5;98.6
594;Agua purificada (Dasani, Planeta Azul y similares);8.0;5;98.6
586;Chocolate en barra;25.0;5;98.6
586;Chocolate en barra;14.0;5;98.6
514;Cilantro;98.0;5;98.6
610;Jugo envasado de naranja;63.0;5;98.6
355;Maní tostado;87.0;5;98.6
265;Queso de hoja;17.0;5;98.6
569;Caldo de pollo (Sopita Concentrada);87.0;5;98.6
245;Leche semidescremada liquida con UHT;87.0;5;98.6
280;Crema de leche;63.0;5;98.6
573;Compota;56.0;5;98.7
549;Salsa francesa;98.0;5;98.7
552;Sazón en polvo;47.0;5;98.7
555;Vinagre blanco;20.0;5;98.7
330;Limoncillo;8.0;5;98.7
259;Suplementos alimenticios (Ensure y similares);98.0;5;98.7
99;Carne preparada para bistec;8.0;5;98.7
3571;Masa para empanada de harina;56.0;5;98.7
128;Carne corriente de cerdo;8.0;5;98.7
498;Bombones y chocolates dulces;98.0;5;98.7
458;Azúcar blanca refinada;8.0;5;98.7
51;Cazabe;56.0;5;98.7
3079;Masa de pastelitos;8.0;5;98.7
436;Alcaparras;87.0;5;98.7
420;Tomate Barceló o Bugalú;56.0;5;98.7
423;Vainitas chinas;8.0;5;98.7
417;Repollo corriente;56.0;5;98.7
20;Galletas dulces;23.0;5;98.7
74;Cereales con frutas;63.0;5;98.7
72;Avena molida saborizada (Frescavena y otras);56.0;5;98.7
3813;Linguinis;8.0;5;98.7
1536;Bicarbonato de sodio;98.0;5;98.7
620;Jugo de frutas en polvo;87.0;5;98.7
501;Paletas, mentas;1.0;5;98.8
177;Salami corriente;1.0;5;98.8
120;Carne de pavo;8.0;5;98.8
619;Jugo envasado de Cranberry;87.0;5;98.8
392;Ají grande (cubanela);1.0;5;98.8
482;Flan enlatado;63.0;5;98.8
174;Longaniza;8.0;5;98.8
600;Jugo concentrado de naranja;87.0;5;98.8
620;Jugo de frutas en polvo;8.0;5;98.8
541;Mayonesa;56.0;4;98.8
527;Malagueta;8.0;4;98.8
366;Habichuelas blancas secas;63.0;4;98.8
359;Cocos secos;56.0;4;98.8
303;Margarina;14.0;4;98.8
242;Leche fresca o cruda de vaca;60.0;4;98.8
