variable,clase
d406d,numeric
d406d_monto,numeric
d406e,numeric
d406e_monto,numeric
d406f,numeric
d406f_monto,numeric
d406g,numeric
d406g_monto,numeric
d406h,numeric
d406h_esp,character
d406h_monto,numeric
d407,numeric
d4081,character
d4081_cod,numeric
d4082,character
d4082_cod,numeric
d4083,character
d4083_cod,numeric
d4084,character
d4084_cod,numeric
d4085,logical
d4085_cod,logical
d409,numeric
d409_monto,numeric
d409_moneda,character
d409_estimado,numeric
d410,numeric
d410_monto,logical
d410_moneda,logical
d411,numeric
d411_esp,logical
d412,logical
d412_monto,logical
d412_moneda,logical
d412_estimado,logical
d413a,numeric
d413a_monto,numeric
d413b,numeric
d413b_monto,logical
d413c,numeric
d413c_monto,logical
d413d,numeric
d413d_esp,logical
d413d_monto,logical
d414,numeric
d415,numeric
d415_monto,numeric
d415_moneda,character
d415_periodo,numeric
d415_dias,logical
d416a,numeric
d416a_monto,logical
d416b,numeric
d416b_monto,numeric
d416c,numeric
d416c_monto,logical
d417a,numeric
d417a_monto,logical
d417b,numeric
d417b_monto,logical
d417c,numeric
d417c_monto,logical
d417d,numeric
d417d_monto,logical
d417e,numeric
d417e_monto,logical
d417f,numeric
d417f_monto,logical
d417g,numeric
d417g_esp,logical
d417g_monto,logical
d417h,numeric
d417h_monto,numeric
d417i,numeric
d417i_esp,logical
d417i_monto,logical
d418,numeric
d418_monto,numeric
d418_moneda,character
d418_periodo,numeric
d418_dias,numeric
d419a,numeric
d419a_monto,numeric
d419b,numeric
d419b_monto,numeric
d419c,numeric
d419c_monto,numeric
d420a,numeric
d420a_monto,numeric
d420b,numeric
d420b_monto,numeric
d420c,numeric
d420c_monto,numeric
d421a,numeric
d421a_monto,numeric
d421b,numeric
d421b_monto,numeric
d421c,numeric
d421c_monto,numeric
d421d,numeric
d421d_esp,character
d421d_monto,numeric
d422,numeric
d422_monto,numeric
d422_promedio,numeric
d423,numeric
d423_monto,numeric
d423_promedio,numeric
d424a_monto,numeric
d424a_porc,numeric
d424b_monto,numeric
d424b_porc,numeric
d424c_monto,numeric
d424c_porc,numeric
d424d_monto,numeric
d424d_porc,numeric
d424e_monto,numeric
d424e_porc,numeric
d424f_monto,numeric
d424f_porc,numeric
d424g_monto,numeric
d424g_porc,numeric
d424h_monto,numeric
d424h_porc,numeric
d424i_monto,numeric
d424i_porc,numeric
d424j_monto,numeric
d424j_porc,numeric
d424k_monto,numeric
d424k_porc,numeric
d424l_monto,numeric
d424l_porc,numeric
d424m_monto,numeric
d424m_porc,numeric
d424n_monto,numeric
d424n_porc,numeric
d424o_monto,numeric
d424o_porc,numeric
d424p_esp,character
d424p_monto,numeric
d424p_porc,numeric
d501,numeric
d502,numeric
d601,numeric
d602,numeric
d602_monto,numeric
d602_moneda,character
d602_periodo,numeric
d602_dias,logical
d603,numeric
d603_monto,numeric
d604a,numeric
d604b,numeric
d604c,numeric
d605,numeric
d605_monto,numeric
d606,numeric
d606_monto,numeric
d607,numeric
d6081,logical
d6081_cod,logical
d6082,logical
d6082_cod,logical
d6083,logical
d6083_cod,logical
d6084,logical
d6084_cod,logical
d6085,logical
d6085_cod,logical
d609,logical
d609_monto,logical
d609_moneda,logical
d609_estimado,logical
d610,logical
d610_monto,logical
d610_moneda,logical
d611,logical
d611_esp,logical
d612,logical
d612_monto,logical
d612_moneda,logical
d612_estimado,logical
d613,logical
d613_monto,logical
d614,numeric
d615,numeric
d615_monto,numeric
d615_moneda,character
d615_periodo,numeric
d615_dias,logical
d616a,numeric
d616a_monto,logical
d616b,numeric
d616b_monto,logical
d616c,numeric
d616c_monto,logical
d617,numeric
d617_monto,logical
d618,numeric
d618_monto,numeric
d618_moneda,character
d618_periodo,numeric
d618_dias,numeric
d619,numeric
d619_monto,logical
d620,numeric
d620_monto,numeric
d621,numeric
d621_monto,numeric
d621_moneda,character
d701a,numeric
d701a_monto,numeric
d701b,numeric
d701b_monto,numeric
d701c,numeric
d701c_monto,numeric
d701d,numeric
d701d_monto,numeric
d701e,numeric
d701e_monto,numeric
d701f,numeric
d701f_monto,numeric
d701g,numeric
d701g_monto,numeric
d701h,numeric
d701h_monto,numeric
d701i,numeric
d701i_monto,numeric
d701j,numeric
d701j_monto,numeric
d701k,numeric
d701k1_monto,numeric
d701k2_monto,numeric
d701k3_monto,numeric
d701k4_monto,numeric
d701k5_monto,numeric
d701k6_monto,numeric
d701k7_monto,numeric
d701k8_monto,numeric
d701k9_monto,numeric
d701k10_monto,numeric
d701l,numeric
d701l_monto,logical
d701m,numeric
d701m_monto,numeric
d701n,numeric
d701n_esp,character
d701n_monto,numeric
d702a,numeric
d702a_monto,numeric
d702b,numeric
d702b_monto,numeric
d702c,numeric
d702c_monto,numeric
d702d,numeric
d702d_monto,numeric
d702e,numeric
d702e_monto,logical
d702f,numeric
d702f_monto,logical
d702g,numeric
d702g_monto,numeric
d702h,numeric
d702h_monto,logical
d702i,numeric
d702i_monto,numeric
d702j,numeric
d702j_esp,logical
d702j_monto,logical
d703a,numeric
d703a_monto,numeric
d703b,numeric
d703b_monto,numeric
d703c,numeric
d703c_monto,logical
d703d,numeric
d703d_monto,logical
d703e,numeric
d703e_monto,logical
d703f,numeric
d703f_monto,logical
d703g,numeric
d703g_esp,logical
d703g_monto,logical
d704a,numeric
d704a_monto,numeric
d704b,numeric
d704b_monto,numeric
d704c,numeric
d704c_monto,numeric
d704d,numeric
d704d_monto,logical
d704e,numeric
d704e_esp,logical
d704e_monto,logical
d705a,numeric
d705a_monto,numeric
d705b,numeric
d705b_monto,logical
d705c,numeric
d705c_esp,logical
d705c_monto,logical
d705d,numeric
d705d_monto,numeric
d705e,numeric
d705e_monto,numeric
d705f,numeric
d705f_monto,logical
d705g,numeric
d705g_esp,character
d705g_monto,numeric
d705h,numeric
d705h_monto,logical
d705i,numeric
d705i_monto,logical
d705j,numeric
d705j_monto,numeric
d705k,numeric
d705k_monto,logical
d705l,numeric
d705l_monto,logical
d705m,numeric
d705m_monto,numeric
d705n,numeric
d705n_monto,numeric
d705o,numeric
d705o_monto,numeric
d705p,numeric
d705p_esp,character
d705p_monto,numeric
d706a,numeric
d706a_horas,numeric
d706a_monto,numeric
d706a_porc,numeric
d706b,numeric
d706b_horas,numeric
d706b_monto,numeric
d706b_porc,numeric
d706c,numeric
d706c_horas,logical
d706c_monto,logical
d706c_porc,logical
d706d,numeric
d706d_horas,logical
d706d_monto,logical
d706d_porc,logical
d801a,numeric
d801a_pais,character
d801a_moneda,character
d801a_monto,numeric
d801b,numeric
d801b_pais,logical
d801b_moneda,logical
d801b_monto,logical
d801c,numeric
d801c_pais,logical
d801c_moneda,logical
d801c_monto,logical
d801d,numeric
d801d_pais,logical
d801d_moneda,logical
d801d_monto,logical
d801e,numeric
d801e_esp,character
d801e_pais,character
d801e_moneda,character
d801e_monto,numeric
d801f,numeric
d801f_esp,character
d801f_monto,numeric
d801f_frecuencia,numeric
d801f_frecuencia_esp,logical
d802m1_1,numeric
d802m1_1_monto,numeric
d802m1_1_pais,character
d802m1_1_moneda,character
d802m1_1_forma,numeric
d802m2_1,logical
d802m2_1_monto,numeric
d802m2_1_pais,character
d802m2_1_moneda,character
d802m2_1_forma,numeric
