variedad;descripcion;unidad_nombre;id_unidad_medida_presentacion;frecuencia_real;n_usable;n_total_combo;FC_propuesto;p25;p75;dispersión_relativa;confianza;fuente;nota_revision
30;CHOCOLATE O COCOA;Sobre;98.0;157;157;157;26.0;25.0;28.3;0.13;ALTA_CONFIANZA;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
13;LECHE LÍQUIDA;Lata;63.0;149;149;149;315.0;315.0;340.2;0.08;ALTA_CONFIANZA;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
14;LECHE EN POLVO;Sobre;98.0;143;143;143;400.0;130.0;1000.0;2.17;CONFIANZA_MEDIA_variacion_mercado;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);Revisado: variedad real de tamaños comerciales (no es ruido de captura)
30;CHOCOLATE O COCOA;Funda;56.0;122;120;122;453.6;244.2;453.6;0.46;CONFIANZA_MEDIA_variacion_mercado;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
7;ARROZ;Funda;56.0;108;108;108;3401.9;2268.0;4535.9;0.67;CONFIANZA_MEDIA_variacion_mercado;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
13;LECHE LÍQUIDA;Caja;23.0;100;100;100;1000.0;963.9;1000.0;0.04;ALTA_CONFIANZA;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
15;HUEVOS;Cartón;31.0;93;0;93;;;;;SIN_EVIDENCIA;Sin contenido_empaque_presentacion utilizable en el crudo - requiere fuente externa;
3;GALLETAS SALADAS;Caja;23.0;90;70;90;34.0;34.0;34.0;0.0;ALTA_CONFIANZA;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
5;AVENA;Paquete;8.0;87;82;87;453.6;400.0;643.4;0.54;CONFIANZA_MEDIA_variacion_mercado;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
5;AVENA;Sobre;98.0;72;72;72;453.6;59.2;453.6;0.87;CONFIANZA_MEDIA_variacion_mercado;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
7;ARROZ;Saco;97.0;61;61;61;13607.8;11339.8;28576.3;1.27;CONFIANZA_MEDIA_variacion_mercado;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);Revisado: variedad real de tamaños comerciales (no es ruido de captura)
9;POLLO;Paquete;8.0;60;60;60;907.2;907.2;1360.8;0.5;CONFIANZA_MEDIA_variacion_mercado;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
16;ACEITE;Funda;56.0;57;54;57;2000.0;2000.0;3301.5;0.65;CONFIANZA_MEDIA_variacion_mercado;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
30;CHOCOLATE O COCOA;Tarro;105.0;56;56;56;453.0;226.8;482.2;0.56;CONFIANZA_MEDIA_variacion_mercado;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
27;HABICHUELAS SUELTAS;Paquete;8.0;47;46;47;907.2;800.0;907.2;0.12;ALTA_CONFIANZA;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
1;PANES;Viga;117.0;46;25;46;740.0;737.1;825.0;0.12;ALTA_CONFIANZA;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
29;AZUCARES;Paquete;8.0;41;41;41;2268.0;907.2;2268.0;0.6;CONFIANZA_MEDIA_variacion_mercado;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
3;GALLETAS SALADAS;Funda;56.0;39;31;39;34.0;28.3;37.5;0.27;ALTA_CONFIANZA;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
11;PESCADO;Paquete;8.0;31;31;31;907.2;453.6;1134.0;0.75;CONFIANZA_MEDIA_variacion_mercado;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
30;CHOCOLATE O COCOA;Cajita;25.0;30;27;30;26.0;26.0;27.0;0.04;ALTA_CONFIANZA;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
17;MANTEQUILLA;Frasco;55.0;29;29;29;425.0;227.0;453.6;0.53;CONFIANZA_MEDIA_variacion_mercado;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
13;LECHE LÍQUIDA;Botella;20.0;28;22;28;1000.0;1000.0;1000.0;0.0;ALTA_CONFIANZA;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
10;CARNE DE CERDO;Paquete;8.0;26;26;26;907.2;907.2;1360.8;0.5;CONFIANZA_MEDIA_variacion_mercado;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
8;CARNE DE RES;Paquete;8.0;24;24;24;907.2;907.2;1360.8;0.5;CONFIANZA_MEDIA_variacion_mercado;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
17;MANTEQUILLA;Barrita;14.0;23;22;23;183.4;110.8;425.0;1.71;CONFIANZA_MEDIA_variacion_mercado;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);Revisado: variedad real de tamaños comerciales (no es ruido de captura)
16;ACEITE;Sobre;98.0;22;22;22;113.4;113.4;113.4;0.0;ALTA_CONFIANZA;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
2;GALLETAS DULCES;Funda;56.0;20;18;20;74.8;36.0;245.7;2.8;CONFIANZA_MEDIA_variacion_mercado;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);Revisado: variedad real de tamaños comerciales (no es ruido de captura)
17;MANTEQUILLA;Cubo;48.0;17;17;17;453.6;425.0;453.6;0.06;ALTA_CONFIANZA;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
30;CHOCOLATE O COCOA;Barrita;14.0;16;16;16;27.0;26.0;28.0;0.07;ALTA_CONFIANZA;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
30;CHOCOLATE O COCOA;Paquete;8.0;16;15;16;26.0;26.0;453.6;16.45;PROVISIONAL_baja_confianza;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);Usar con cautela: patrón bimodal o evidencia escasa (n<20) o rango físicamente implausible. Requiere conocimiento de mercado local antes de dar por bueno.
7;ARROZ;Paquete;8.0;16;16;16;2268.0;2268.0;4535.9;1.0;CONFIANZA_MEDIA_variacion_mercado;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
12;MARISCOS;Paquete;8.0;14;14;14;907.2;907.2;1247.4;0.37;CONFIANZA_MEDIA_variacion_mercado;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
26;PAPAS;Funda;56.0;14;14;14;2268.0;1360.8;2268.0;0.4;CONFIANZA_MEDIA_variacion_mercado;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
18;SALAMI;;80.0;14;14;14;680.4;453.6;907.2;0.67;CONFIANZA_MEDIA_variacion_mercado;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
25;GUINEITO VERDE;Racimo;91.0;12;0;12;;;;;SIN_EVIDENCIA;Sin contenido_empaque_presentacion utilizable en el crudo - requiere fuente externa;
13;LECHE LÍQUIDA;Frasco;55.0;12;12;12;1000.0;1000.0;1000.0;0.0;ALTA_CONFIANZA;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
4;HARÍNA DE MAÍZ;Paquete;8.0;9;9;9;453.6;453.6;453.6;0.0;ALTA_CONFIANZA;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
6;FIEDOS O SPAGUETTIS (PASTAS);Caja;23.0;9;9;9;453.6;206.0;500.0;0.65;CONFIANZA_MEDIA_variacion_mercado;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
17;MANTEQUILLA;Sobre;98.0;8;8;8;40.0;37.5;40.0;0.06;ALTA_CONFIANZA;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
17;MANTEQUILLA;Pote;87.0;8;8;8;453.6;446.4;467.8;0.05;ALTA_CONFIANZA;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
2;GALLETAS DULCES;Sobre;98.0;7;7;7;34.0;33.5;38.0;0.13;ALTA_CONFIANZA;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
26;PAPAS;Paquete;8.0;7;7;7;2268.0;2268.0;2721.6;0.2;ALTA_CONFIANZA;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
14;LECHE EN POLVO;Paquete;8.0;7;7;7;800.0;162.5;850.0;0.86;CONFIANZA_MEDIA_variacion_mercado;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
17;MANTEQUILLA;Cajita;25.0;7;7;7;425.0;425.0;453.6;0.07;ALTA_CONFIANZA;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
