variedad;descripcion;id_unidad_medida_presentacion;frecuencia_real;unidad_nombre;total_alimento;pct_del_alimento
18;SALAMI;111.0;1;Trozo;1850;0.054
18;SALAMI;113.0;1;;1850;0.054
19;SARDINAS EN AGUA;63.0;308;Lata;351;87.749
19;SARDINAS EN AGUA;;43;;351;12.251
20;SARDINAS EN ACEITE;63.0;444;Lata;476;93.277
20;SARDINAS EN ACEITE;;32;;476;6.723
21;PICA PICA;63.0;434;Lata;468;92.735
21;PICA PICA;;34;;468;7.265
22;ATÚN EN AGUA;63.0;388;Lata;435;89.195
22;ATÚN EN AGUA;;44;;435;10.115
22;ATÚN EN AGUA;23.0;1;Caja;435;0.23
22;ATÚN EN AGUA;31.0;1;Cartón;435;0.23
22;ATÚN EN AGUA;87.0;1;Pote;435;0.23
23;ATÚN EN ACEITE;63.0;407;Lata;467;87.152
23;ATÚN EN ACEITE;;60;;467;12.848
24;PLÁTANO VERDE;;1831;;1837;99.673
24;PLÁTANO VERDE;91.0;5;Racimo;1837;0.272
24;PLÁTANO VERDE;90.0;1;Quintal;1837;0.054
25;GUINEITO VERDE;;1506;;1522;98.949
25;GUINEITO VERDE;91.0;12;Racimo;1522;0.788
25;GUINEITO VERDE;66.0;4;Mano;1522;0.263
26;PAPAS;;1195;;1217;98.192
26;PAPAS;56.0;14;Funda;1217;1.15
26;PAPAS;8.0;7;Paquete;1217;0.575
26;PAPAS;91.0;1;Racimo;1217;0.082
27;HABICHUELAS SUELTAS;;2255;;2484;90.781
27;HABICHUELAS SUELTAS;56.0;179;Funda;2484;7.206
27;HABICHUELAS SUELTAS;8.0;47;Paquete;2484;1.892
27;HABICHUELAS SUELTAS;63.0;1;Lata;2484;0.04
27;HABICHUELAS SUELTAS;97.0;1;Saco;2484;0.04
27;HABICHUELAS SUELTAS;105.0;1;Tarro;2484;0.04
28;HABICHUELAS ENLATADAS;63.0;568;Lata;701;81.027
28;HABICHUELAS ENLATADAS;;133;;701;18.973
29;AZUCARES;;3949;;4186;94.338
29;AZUCARES;56.0;196;Funda;4186;4.682
29;AZUCARES;8.0;41;Paquete;4186;0.979
30;CHOCOLATE O COCOA;;386;;1602;24.095
30;CHOCOLATE O COCOA;87.0;290;Pote;1602;18.102
30;CHOCOLATE O COCOA;99.0;271;;1602;16.916
30;CHOCOLATE O COCOA;23.0;248;Caja;1602;15.481
30;CHOCOLATE O COCOA;98.0;157;Sobre;1602;9.8
30;CHOCOLATE O COCOA;56.0;122;Funda;1602;7.615
30;CHOCOLATE O COCOA;105.0;56;Tarro;1602;3.496
30;CHOCOLATE O COCOA;25.0;30;Cajita;1602;1.873
30;CHOCOLATE O COCOA;8.0;16;Paquete;1602;0.999
30;CHOCOLATE O COCOA;14.0;16;Barrita;1602;0.999
30;CHOCOLATE O COCOA;55.0;5;Frasco;1602;0.312
30;CHOCOLATE O COCOA;20.0;2;Botella;1602;0.125
30;CHOCOLATE O COCOA;63.0;2;Lata;1602;0.125
30;CHOCOLATE O COCOA;31.0;1;Cartón;1602;0.062
31;;;11;;23;47.826
31;;23.0;4;Caja;23;17.391
31;;1.0;1;Unidad;23;4.348
31;;8.0;1;Paquete;23;4.348
31;;25.0;1;Cajita;23;4.348
31;;47.0;1;;23;4.348
31;;56.0;1;Funda;23;4.348
31;;63.0;1;Lata;23;4.348
31;;87.0;1;Pote;23;4.348
31;;98.0;1;Sobre;23;4.348
32;;;7;;10;70.0
32;;21.0;1;Botellón;10;10.0
32;;56.0;1;Funda;10;10.0
32;;63.0;1;Lata;10;10.0
33;;;2;;4;50.0
33;;8.0;1;Paquete;4;25.0
33;;56.0;1;Funda;4;25.0
34;;;1;;1;100.0
35;;;1;;1;100.0
45;;;1;;1;100.0
47;;;1;;1;100.0
50;;56.0;1;Funda;1;100.0
56;;1.0;2;Unidad;5;40.0
56;;56.0;2;Funda;5;40.0
56;;3.0;1;Gramos;5;20.0
57;;1.0;1;Unidad;1;100.0
63;;1.0;3;Unidad;3;100.0
69;;56.0;2;Funda;2;100.0
73;;97.0;1;Saco;1;100.0
87;;87.0;1;Pote;1;100.0
89;;;1;;1;100.0
