id_variedad;descripcion_engih;sugerencia_ID;sugerencia_nombre;freq_registros;edible_incap;decision
182;Salchichas de carne de cerdo;70207026;Salchicha, de res y cerdo;12;1;OK
466;Melaza;70215022;Melaza;12;1;OK
409;Cebollín;70211039;Cebollin;12;0.9;OK
2869;Hígado de cerdo;70204014;Cerdo, higado, crudo;12;1;OK
397;Rábano;70211126;Rabano, hojas;9;0.82;OK
69;Arroz integral;70213006;Arroz integral, grano mediano, crudo;9;1;OK
4199;Salchicha de pollo;70207053;Salchicha, de res y pollo;9;1;DUDOSA
125;Lomo de Cerdo;70204042;Cerdo, lomo de cinta, semimagro, crudo;9;0.95;OK
576;Polvo para hornear;70214044;Polvo de hornear;9;1;OK
201;Bonito;70208024;Pescado, bonito, fresco;8;0.51;OK
15;Pan de hot dog;70214019;Pan blanco, tipo hamburguesa-hot dog;8;1;OK
4999;Kiwi;70212069;Kiwi , fruta fresca;7;0.76;OK
329;Limón dulce;70212070;Lima limon o limon dulce;7;0.6;OK
22;Galletas María;70214002;Galletas dulces, simples tipo maria;7;1;OK
135;Rabo de cerdo;70204022;Cerdo, cola o rabo, crudo;7;0.7;OK
176;Mortadela;70207018;Mortadela de cerdo y res;6;1;OK
365;Ajonjolí;70210014;Semilla de ajonjoli o sesamo, seca;6;1;OK
518;Hojas de Menta;70222036;Menta, hojas frescas;5;0.61;OK
561;Extracto de vainilla;70222025;Vainilla, extracto;5;1;OK
4707;Salami de pavo;70207046;Salami de pavo, cocido;5;1;OK
294;Aceite de girasol;70216005;Aceite de girasol (65% ac linoleico);4;1;OK
7;Pan baguette integral;70214112;Pan baguette;4;1;OK
513;Albahaca;70222002;Albahaca, fresca;4;0.64;OK
211;Róbalo;70208037;Pescado,robalo,fresco;4;0.66;OK
253;Leche en polvo descremada;70201011;Leche descremada, en polvo, s/vit a&d;4;1;OK
5958;Tortilla de trigo;70214058;Tortilla de trigo, lista para hornear o freir;4;1;OK
519;Romero;70222020;Romero, fresco;3;0.65;OK
344;Níspero;70212030;Chicozapote o nispero de montana;3;0.8;OK
147;Riñón de res;70205041;Res, rinon, crudo;3;0.84;OK
62;Sémola de maíz;70213024;Crema de maiz, semola de maiz enriq. , no preparada;3;1;OK
189;Pepperoni;70207036;Pepperoni , res y cerdo;2;1;OK
7392;Jobo;70212066;Jocote comun/jobo, amarillo o rojo;2;0.66;OK
5875;Cúrcuma;70222030;Curcuma, polvo;2;1;OK
3007;Cabeza de res;70205076;Res, manita o cabeza de lomo, magra, cruda;2;0.93;OK
345;Pan de fruta;70212043;Fruta de pan o masapan;2;0.78;OK
119;Carne de pato;70203005;Pato de crianza, carne c/piel, cruda;2;0.72;OK
3994;Manzana amarilla;70212186;Manzana, amarilla, con cascara;2;0.9;OK
