id_variedad,descripcion_engih,freq_registros,enhance_id_anterior,enhance_id_nuevo,tipo_equivalencia,motivo
5839,Carne salada,30,NA,70205026,directa,Carga de sugerencia revisada (bloque 154)
295,Aceite de coco,29,NA,70216004,directa,Carga de sugerencia revisada (bloque 154)
4,Pan de maíz entero,28,NA,70213031,sustituto_por_criterio,Carga de sugerencia revisada (bloque 154)
4611,Donas de azucar,27,NA,70218005,directa,Carga de sugerencia revisada (bloque 154)
216,Atún,27,NA,70208019,sustituto_por_criterio,Carga de sugerencia revisada (bloque 154)
164,Chorizos,26,NA,70207005,sustituto_por_criterio,Carga de sugerencia revisada (bloque 154)
3,Pan de leche,25,NA,70214020,directa,Carga de sugerencia revisada (bloque 154)
529,Manzanilla,25,NA,70217156,sustituto_por_criterio,Manzanilla: era la fruta manzanita; en RD es la infusion
339,Toronja,23,NA,70212139,directa,Carga de sugerencia revisada (bloque 154)
351,Carambola,22,NA,70212015,directa,Carga de sugerencia revisada (bloque 154)
346,Pera,22,NA,70212120,directa,Pera (NO): era pepino dulce; pera importada s/cascara
184,Salchichas de freír,22,NA,70207025,sustituto_por_criterio,Carga de sugerencia revisada (bloque 154)
53,Tortilla de maíz (para tacos),22,NA,70214068,sustituto_por_criterio,Carga de sugerencia revisada (bloque 154)
92,Lasagña,20,NA,70213169,directa,Carga de sugerencia revisada (bloque 154)
512,Perejil,20,NA,70211140,directa,Perejil: era seco congelado; el generico es fresco
194,Pipián,19,NA,70211021,directa,Carga de sugerencia revisada (bloque 154)
104,Filete,13,NA,70204031,sustituto_por_criterio,Carga de sugerencia revisada (bloque 154)
306,Mantequilla de maní,12,NA,70216017,directa,Carga de sugerencia revisada (bloque 154)
212,Salmón,12,NA,70208038,directa,Carga de sugerencia revisada (bloque 154)
170,Jamón de pollo,12,NA,70207012,directa,Carga de sugerencia revisada (bloque 154)
182,Salchichas de carne de cerdo,12,NA,70207026,sustituto_por_criterio,Carga de sugerencia revisada (bloque 154)
466,Melaza,12,NA,70215022,directa,Carga de sugerencia revisada (bloque 154)
409,Cebollín,12,NA,70211039,directa,Carga de sugerencia revisada (bloque 154)
2869,Hígado de cerdo,12,NA,70204014,directa,Carga de sugerencia revisada (bloque 154)
397,Rábano,9,NA,70211144,sustituto_por_criterio,Rabano: eran las HOJAS; se consume la raiz
69,Arroz integral,9,NA,70213006,directa,Carga de sugerencia revisada (bloque 154)
4199,Salchicha de pollo,9,NA,70207024,directa,Salchicha de pollo (DUDOSA): existe el codigo puro de pollo
125,Lomo de Cerdo,9,NA,70204042,directa,Carga de sugerencia revisada (bloque 154)
576,Polvo para hornear,9,NA,70214044,sustituto_por_criterio,Carga de sugerencia revisada (bloque 154)
201,Bonito,8,NA,70208024,directa,Carga de sugerencia revisada (bloque 154)
15,Pan de hot dog,8,NA,70214019,directa,Carga de sugerencia revisada (bloque 154)
4999,Kiwi,7,NA,70212069,directa,Carga de sugerencia revisada (bloque 154)
329,Limón dulce,7,NA,70212070,directa,Carga de sugerencia revisada (bloque 154)
22,Galletas María,7,NA,70214002,directa,Carga de sugerencia revisada (bloque 154)
135,Rabo de cerdo,7,NA,70204022,directa,Carga de sugerencia revisada (bloque 154)
176,Mortadela,6,NA,70207018,directa,Carga de sugerencia revisada (bloque 154)
365,Ajonjolí,6,NA,70210014,directa,Carga de sugerencia revisada (bloque 154)
518,Hojas de Menta,5,NA,70222036,directa,Carga de sugerencia revisada (bloque 154)
561,Extracto de vainilla,5,NA,70222025,directa,Carga de sugerencia revisada (bloque 154)
