id_vivienda;id_hogar;id_hogar_unico;id_variedad;descripcion;id_unidad_medida_presentacion;id_unidad_medida;Q;cantidad_inicial;cantidad_final;factor_anual;unidad_a_convertir;fc_universal;fc_especifico;fc;descripcion_engih;enhance_id;fuente;tipo_equivalencia;validado;edible;PM
124;1;124_1;7;ARROZ;NA;2;5;10;5;788.6658368756;2;453.592;NA;453.592;ARROZ;70213002;INCAP;directa;TRUE;1,00;7
124;1;124_1;14;LECHE EN POLVO;56;3;1;1;0;788.6658368756;56;NA;NA;NA;LECHE EN POLVO;7025;INCAP;directa;TRUE;1,00;7
124;1;124_1;16;ACEITE;57;2;0.25;1;0.75;788.6658368756;57;3785.41;3785410;3785.41;ACEITE;70216010;INCAP;directa;TRUE;1,00;7
124;1;124_1;17;MANTEQUILLA;105;3;0.5;1;0.5;788.6658368756;105;NA;NA;NA;MANTEQUILLA;70216015;INCAP;requiere_revision;TRUE;1,00;7
124;1;124_1;27;HABICHUELAS SUELTAS;NA;2;1;2;1;788.6658368756;2;453.592;NA;453.592;HABICHUELAS SUELTAS;70209050;INCAP;directa;TRUE;1,00;7
124;1;124_1;29;AZUCARES;NA;2;1;1;0;788.6658368756;2;453.592;NA;453.592;AZUCARES;70215001;INCAP;directa;TRUE;1,00;7
124;1;124_1;30;CHOCOLATE O COCOA;23;3;6;12;6;788.6658368756;23;NA;NA;NA;CHOCOLATE O COCOA;70217047;INCAP;requiere_revision;TRUE;1,00;7
399;1;399_1;6;FIEDOS O SPAGUETTIS (PASTAS);56;2;1;1;0;277.006944444444;56;NA;NA;NA;FIEDOS O SPAGUETTIS (PASTAS);70213060;INCAP;directa;TRUE;1,00;7
399;1;399_1;7;ARROZ;NA;2;5;5;0;277.006944444444;2;453.592;NA;453.592;ARROZ;70213002;INCAP;directa;TRUE;1,00;7
399;1;399_1;15;HUEVOS;NA;1;20;30;10;277.006944444444;1;NA;NA;NA;HUEVOS;70202002;INCAP;directa;TRUE;0,88;7
399;1;399_1;16;ACEITE;57;4;0.5;0.5;0;277.006944444444;57;3785.41;3785410;3785.41;ACEITE;70216010;INCAP;directa;TRUE;1,00;7
399;1;399_1;17;MANTEQUILLA;105;2;0.3;0.5;0.2;277.006944444444;105;NA;NA;NA;MANTEQUILLA;70216015;INCAP;requiere_revision;TRUE;1,00;7
399;1;399_1;29;AZUCARES;NA;2;0.5;0.5;0;277.006944444444;2;453.592;NA;453.592;AZUCARES;70215001;INCAP;directa;TRUE;1,00;7
422;1;422_1;5;AVENA;56;3;0.15;0.15;0;416.444999999999;56;NA;NA;NA;AVENA;70213008;INCAP;directa;TRUE;1,00;7
422;1;422_1;7;ARROZ;NA;2;28;80;52;416.444999999999;2;453.592;NA;453.592;ARROZ;70213002;INCAP;directa;TRUE;1,00;7
422;1;422_1;11;PESCADO;NA;2;2;2;0;416.444999999999;2;453.592;NA;453.592;PESCADO;70208049;INCAP;sustituto_por_criterio;TRUE;0,51;7
422;1;422_1;16;ACEITE;57;5;0.5;0.5;0;416.444999999999;57;3785.41;3785410;3785.41;ACEITE;70216010;INCAP;directa;TRUE;1,00;7
422;1;422_1;18;SALAMI;NA;2;1;1;0;416.444999999999;2;453.592;453592;453.592;SALAMI;70207021;INCAP;sustituto_por_criterio;TRUE;1,00;7
422;1;422_1;26;PAPAS;NA;2;20;20;0;416.444999999999;2;453.592;NA;453.592;PAPAS;70211127;INCAP;directa;TRUE;0,75;7
422;1;422_1;27;HABICHUELAS SUELTAS;NA;2;2;6;4;416.444999999999;2;453.592;NA;453.592;HABICHUELAS SUELTAS;70209050;INCAP;directa;TRUE;1,00;7
422;1;422_1;29;AZUCARES;NA;2;2;2;0;416.444999999999;2;453.592;NA;453.592;AZUCARES;70215001;INCAP;directa;TRUE;1,00;7
422;1;422_1;30;CHOCOLATE O COCOA;87;3;0.5;0.5;0;416.444999999999;87;NA;NA;NA;CHOCOLATE O COCOA;70217047;INCAP;requiere_revision;TRUE;1,00;7
337;1;337_1;7;ARROZ;NA;2;5;10;5;415.510416666666;2;453.592;NA;453.592;ARROZ;70213002;INCAP;directa;TRUE;1,00;7
337;1;337_1;16;ACEITE;57;57;0.75;0.78;0;415.510416666666;57;3785.41;3785410;3785.41;ACEITE;70216010;INCAP;directa;TRUE;1,00;7
337;1;337_1;27;HABICHUELAS SUELTAS;NA;2;1;1;0;415.510416666666;2;453.592;NA;453.592;HABICHUELAS SUELTAS;70209050;INCAP;directa;TRUE;1,00;7
337;1;337_1;29;AZUCARES;NA;2;2;2;0;415.510416666666;2;453.592;NA;453.592;AZUCARES;70215001;INCAP;directa;TRUE;1,00;7
364;1;364_1;1;PANES;56;1;0.5;0.5;0;378.586363636363;56;NA;NA;NA;PANES;70214131;INCAP;sustituto_por_criterio;TRUE;1,00;7
364;1;364_1;3;GALLETAS SALADAS;NA;1;7;7;0;378.586363636363;1;NA;NA;NA;GALLETAS SALADAS;70214010;INCAP;directa;TRUE;1,00;7
364;1;364_1;7;ARROZ;NA;2;3;7;4;378.586363636363;2;453.592;NA;453.592;ARROZ;70213002;INCAP;directa;TRUE;1,00;7
